id,empid,memid,empdate,status
1,1,1,2019-07-01,A
2,1,2,2019-07-01,A
3,1,3,2019-01-31,A
4,2,1,2019-01-31,A
5,1,4,2019-07-01,A
6,7,5,2019-07-01,A
7,4,3,2019-01-31,S
8,5,4,2019-01-31,A
9,3,2,2019-01-01,A
10,6,6,2019-07-01,A
11,8,7,2019-07-01,A
12,9,8,2019-07-01,A
13,10,9,2019-07-01,A
14,11,10,2019-07-01,A
15,13,11,2019-01-01,A
16,15,12,1986-07-01,A
17,14,13,2019-07-01,S
18,16,14,2019-07-01,A
19,17,15,2019-07-01,A
20,18,16,2019-07-01,A
21,19,17,2019-07-01,A
22,20,18,2019-07-01,A
23,21,19,2019-01-01,A
24,12,20,2019-07-01,S
25,12,21,2019-07-01,A
26,12,22,2019-07-01,A
27,12,23,2000-07-01,S
28,23,24,2019-07-01,A
29,20,25,2019-07-01,A
30,24,26,2019-07-01,A
31,25,27,2019-07-01,A
32,3,28,2019-07-01,A
33,3,5,2019-07-01,S
34,26,29,2019-07-01,A
35,26,30,2019-07-01,A
36,17,31,2019-07-01,S
37,28,32,2019-07-01,A
38,29,33,2019-07-01,A
39,30,34,2019-07-01,A
40,32,35,2019-07-01,A
41,31,36,2019-07-01,A
42,33,37,2019-07-01,A
43,34,38,2019-07-01,A
44,35,39,2019-07-01,A
45,36,40,2019-07-01,A
46,27,31,2019-01-01,A
47,37,41,2019-07-01,A
48,38,42,2019-07-01,A
49,12,11,2019-01-01,A
50,39,43,2019-07-01,A
51,40,44,2019-07-01,A
52,41,45,2019-07-01,A
53,42,46,2019-07-01,A
54,43,47,2019-07-01,A
55,43,48,2019-07-01,A
56,43,49,2019-07-01,A
57,43,50,2019-07-01,A
58,44,51,2019-07-01,A
59,45,52,2019-07-01,A
60,46,53,2019-07-01,A
61,22,20,2019-01-01,A
62,12,23,2019-01-01,S
63,48,54,2019-07-01,A
64,3,23,2019-01-01,S
65,5,55,2008-03-28,A
66,49,56,2019-07-01,A
67,49,57,2019-07-01,A
68,50,58,2005-05-01,A
69,51,59,2019-07-01,A
70,52,60,2019-07-01,A
71,53,61,2019-07-01,A
72,54,62,2019-07-01,A
73,55,63,2019-07-01,A
74,56,64,2019-07-01,A
75,57,65,2019-07-01,A
