sid,did,scode,name,paddress,address,phone,email,cby,cdate,time,edate
1,1,1,CHEMBA ,CHEMBA ,P.O.Box 542155,782345678,chemba@tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
2,1,2,KONDOA ,KONDOA ,P.O.Box 542157,718987890,kondoa @tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
3,2,1,BAHI ,BAHI ,P.O.Box 542159,718987892,bahi @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
4,2,2,CHAMWINO ,CHAMWINO ,P.O.Box 542161,718987894,chamwino @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
5,2,3,CHIMWAGA ,CHIMWAGA ,P.O.Box 542163,718987896,chimwaga @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
6,2,4,MLIMWA ,MLIMWA ,P.O.Box 542165,718987898,mlimwa @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
7,2,5,MUNDEMU ,MUNDEMU ,P.O.Box 542167,718987900,mundemu @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
8,2,6,MVUMI-DODOMA ,MVUMI-DODOMA ,P.O.Box 542169,718987902,mvumi-dodoma @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
9,2,7,MWITIKIRA ,MWITIKIRA ,P.O.Box 542171,718987904,mwitikira @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
10,3,1,KIBAIGWA ,KIBAIGWA ,P.O.Box 542173,718987906,kibaigwa @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
11,3,2,KONGWA ,KONGWA ,P.O.Box 542175,718987908,kongwa @tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
12,3,3,MPWAPWA ,MPWAPWA ,P.O.Box 542177,718987910,mpwapwa @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
13,3,4,PWAGA ,PWAGA ,P.O.Box 542179,718987912,pwaga @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
14,4,1,IRINGA MJINI ,IRINGA MJINI ,P.O.Box 542181,718987914,iringa mjini @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
15,4,2,ISIMANI ,ISIMANI ,P.O.Box 542183,718987916,isimani @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
16,4,3,KALENGA ,KALENGA ,P.O.Box 542185,718987918,kalenga @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
17,4,4,KILOLO ,KILOLO ,P.O.Box 542187,718987920,kilolo @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
18,4,5,KIDAMALI,KIDAMALI,P.O.Box 542189,718987922,kidamali@tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
19,4,6,KISING'A,KISING'A,P.O.Box 542191,718987924,kising'a@tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
20,4,8,KIWELE,KIWELE,P.O.Box 542193,718987926,kiwele@tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
21,4,7,LUGALO ,LUGALO ,P.O.Box 542195,718987928,lugalo @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
22,4,9,MAHENGE ,MAHENGE -IRINGA,P.O.BOX 542197,718987930,,1,2019-01-01,12:24:00,26/05/2022 10:28
23,4,10,MAZOMBE ,MAZOMBE ,P.O.Box 542199,718987932,mazombe @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
24,4,11,PAWAGA ,PAWAGA ,P.O.Box 542201,718987934,pawaga @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:25
25,4,12,RUAHA ,RUAHA ,P.O.Box 542203,718987936,ruaha @tag.or.tz,1,2019-01-01,12:25:00,19/05/2015 12:26
26,4,13,TANANGOZI ,TANANGOZI ,P.O.Box 542205,718987938,tanangozi @tag.or.tz,1,2019-01-01,12:26:00,19/05/2015 12:26
27,4,14,UKUMBI ,UKUMBI ,P.O.Box 542207,718987940,ukumbi @tag.or.tz,1,2019-01-01,12:27:00,19/05/2015 12:27
28,5,1,BONDE LA UFA,BONDE LA UFA,P.O.Box 542209,718987942,bonde la ufa@tag.or.tz,1,2019-01-01,12:32:00,19/05/2015 12:32
29,5,2,DABAGA,DABAGA,P.O.Box 542211,718987944,dabaga@tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
30,5,3,IGOWOLE ,IGOWOLE ,P.O.Box 542213,718987946,igowole @tag.or.tz,1,2019-01-01,12:33:00,19/05/2015 12:33
31,5,4,KIHANSI ,KIHANSI ,P.O.Box 542215,718987948,kihansi @tag.or.tz,1,2019-01-01,12:34:00,19/05/2015 12:34
32,5,5,KIPONZELO ,KIPONZELO ,P.O.Box 542217,718987950,kiponzelo @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
33,5,6,MAFINGA ,MAFINGA ,P.O.Box 542219,718987952,mafinga @tag.or.tz,1,2019-01-01,12:35:00,19/05/2015 12:35
34,5,7,MUFINDI ,MUFINDI ,P.O.Box 542221,718987954,mufindi @tag.or.tz,1,2019-01-01,12:36:00,19/05/2015 12:36
35,5,8,SADANI ,SADANI ,P.O.Box 542223,718987956,sadani @tag.or.tz,1,2019-01-01,12:37:00,19/05/2015 12:37
36,6,10,MATOMBO ,MATOMBO ,P.O.Box 542225,718987958,matombo @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
37,6,9,MGETA ,MGETA ,P.O.Box 542227,718987960,mgeta @tag.or.tz,1,2019-01-01,12:38:00,19/05/2015 12:38
38,6,1,MLALI ,MLALI ,P.O.Box 542229,718987962,mlali @tag.or.tz,1,2019-01-01,11:12:00,19/05/2015 10:14
39,6,2,MOROGORO (M) KASKAZINI,MOROGORO (M) KASKAZINI,P.O.Box 542231,718987964,morogoro (m) kaskazini@tag.or.tz,1,2019-01-01,18:07:00,19/05/2012 18:07
40,6,3,MOROGORO MJINI KUS. ,MOROGORO MJINI KUS. ,P.O.Box 542233,718987966,morogoro mjini kus. @tag.or.tz,1,2019-01-01,10:15:00,19/05/2015 10:15
41,6,4,MOROGORO MJINI MAGHARIBI ,MOROGORO MJINI MAGHARIBI ,P.O.Box 542235,718987968,morogoro mjini magharibi @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
42,6,5,MOROGORO MJINI MASHARIKI ,MOROGORO MJINI MASHARIKI ,P.O.Box 542237,718987970,morogoro mjini mashariki @tag.or.tz,1,2019-01-01,10:16:00,19/05/2015 10:16
43,6,6,MVOMERO ,MVOMERO ,P.O.Box 542239,718987972,mvomero @tag.or.tz,1,2019-01-01,10:17:00,19/05/2015 10:17
44,6,7,MVUHA ,MVUHA ,P.O.Box 542241,718987974,mvuha @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
45,6,8,TURIANI ,TURIANI ,P.O.Box 542243,718987976,turiani @tag.or.tz,1,2019-01-01,10:18:00,19/05/2015 10:18
46,7,1,IFAKARA KIBAONI ,IFAKARA KIBAONI ,P.O.Box 542245,718987978,ifakara kibaoni @tag.or.tz,1,2019-01-01,10:19:00,19/05/2015 10:19
47,7,2,IFAKARA  MJINI,IFAKARA ,P.O.BOX 542247,718987980,,1,2019-01-01,10:19:00,07/07/2022 07:55
48,7,3,KILOMBERO  ,KILOMBERO  ,P.O.Box 542249,718987982,kilombero  @tag.or.tz,1,2019-01-01,12:01:00,19/05/2015 12:01
49,7,4,MAHENGE-MOROGORO ,MAHENGE-MOROGORO ,P.O.Box 542251,718987984,mahenge-morogoro @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
50,7,5,MALINYI ,MALINYI ,P.O.Box 542253,718987986,malinyi @tag.or.tz,1,2019-01-01,12:02:00,19/05/2015 12:02
51,7,6,MANG'ULA ,MANG'ULA ,P.O.Box 542255,718987988,mang'ula @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
52,7,7,MBINGU ,MBINGU ,P.O.Box 542257,718987990,mbingu @tag.or.tz,1,2019-01-01,12:03:00,19/05/2015 12:03
53,7,8,MIKUMI ,MIKUMI ,P.O.Box 542259,718987992,mikumi @tag.or.tz,1,2019-01-01,12:04:00,19/05/2015 12:04
54,7,9,MLIMBA ,MLIMBA ,P.O.Box 542261,718987994,mlimba @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
55,7,10,MNGETA ,MNGETA ,P.O.Box 542263,718987996,mngeta @tag.or.tz,1,2019-01-01,12:06:00,19/05/2015 12:06
56,7,11,MOFU ,MOFU ,P.O.Box 542265,718987998,mofu @tag.or.tz,1,2019-01-01,12:07:00,19/05/2015 12:07
57,7,12,MTIMBILA ,MTIMBILA ,P.O.Box 542267,718988000,mtimbila @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
58,7,13,MWAYA ,MWAYA ,P.O.Box 542269,718988002,mwaya @tag.or.tz,1,2019-01-01,12:23:00,19/05/2015 12:23
59,7,14,RUHEMBE ,RUHEMBE ,P.O.Box 542271,718988004,ruhembe @tag.or.tz,1,2019-01-01,12:24:00,19/05/2015 12:24
